galaxy_id,pair_index,rin_arcsec,rout_arcsec,sigma_hi_msun_pc2
WALLABY J125647+055350,0,4.4408920985e-16,12,3.14112614471
WALLABY J125647+055350,1,12,24,1.99120905207
WALLABY J125647+055350,2,24,36.0000000001,1.11114965517
WALLABY J125647+055350,3,36.0000000001,48.0000000001,0.0209815750517
WALLABY J125647+055512,0,4.4408920985e-16,12,0.999807672061
WALLABY J125647+055512,1,12,24,1.76870035494
WALLABY J125647+055512,2,24,36.0000000001,1.55918630934
WALLABY J125647+055512,3,36.0000000001,48.0000000001,0.748259167121
WALLABY J125647+055512,4,48.0000000001,60.0000000001,0.437327656591
WALLABY J125647+055512,5,60.0000000001,72.0000000001,0.0545623280959
WALLABY J125647+055512,6,72.0000000001,84.0000000002,0.00416601441779
WALLABY J125647+055512,7,84.0000000002,96.0000000002,0.0176613965995
WALLABY J125647+055512,8,96.0000000002,108,0.0192596979916
WALLABY J125647+055512,9,108,120,0.00369315787405
WALLABY J125652+045727,0,4.4408920985e-16,12,6.94717802752
WALLABY J125652+045727,1,12,24,2.25875220992
WALLABY J125652+045727,2,24,36.0000000001,1.67076517514
WALLABY J125652+045727,3,36.0000000001,48.0000000001,0.116435527085
WALLABY J125652+045727,4,48.0000000001,60.0000000001,0.0274385716623
WALLABY J125700-171910,0,4.4408920985e-16,12,16.7152501286
WALLABY J125700-171910,1,12,24,10.2622345949
WALLABY J125700-171910,2,24,36.0000000001,8.13149055307
WALLABY J125700-171910,3,36.0000000001,48.0000000001,5.89809260323
WALLABY J125700-171910,4,48.0000000001,60.0000000001,3.18696104332
WALLABY J125700-171910,5,60.0000000001,72.0000000001,2.10914533004
WALLABY J125700-171910,6,72.0000000001,84.0000000002,0.629323390269
WALLABY J125700-171910,7,84.0000000002,96.0000000002,0.103737551771
WALLABY J125716+060334,0,4.4408920985e-16,12,3.72652366605
WALLABY J125716+060334,1,12,24,2.89726854227
WALLABY J125716+060334,2,24,36.0000000001,0.462413457826
WALLABY J125716+060334,3,36.0000000001,48.0000000001,0.175394256626
WALLABY J125716+060334,4,48.0000000001,60.0000000001,0.00829038750647
WALLABY J125716+060334,5,60.0000000001,72.0000000001,0.00376708705522
WALLABY J125718+045929,0,4.4408920985e-16,12,2.64939342518
WALLABY J125718+045929,1,12,24,1.58122322008
WALLABY J125718+045929,2,24,36.0000000001,1.57217877999
WALLABY J125718+045929,3,36.0000000001,48.0000000001,0.382032619389
WALLABY J125718+045929,4,48.0000000001,60.0000000001,0.129820392953
WALLABY J125718+045929,5,60.0000000001,72.0000000001,0.000711457913187
WALLABY J125757-130339,0,6.00000000001,18,0.667535705535
WALLABY J125757-130339,1,18,30.0000000001,1.93974311189
WALLABY J125757-130339,2,30.0000000001,42.0000000001,2.86395698268
WALLABY J125757-130339,3,42.0000000001,54.0000000001,2.13099693007
WALLABY J125757-130339,4,54.0000000001,66.0000000001,1.89027855015
WALLABY J125757-130339,5,66.0000000001,78.0000000002,2.81254345332
WALLABY J125757-130339,6,78.0000000002,90.0000000002,2.93291190555
WALLABY J125757-130339,7,90.0000000002,102,1.97935653867
WALLABY J125757-130339,8,102,114,1.64276741857
WALLABY J125757-130339,9,114,126,0.217501617
WALLABY J125757-130339,10,126,138,0.0840677849347
WALLABY J125757-130339,11,138,150,0.00527727653211
WALLABY J125814+033205,0,4.4408920985e-16,12,3.32271930859
WALLABY J125814+033205,1,12,24,3.03642430338
WALLABY J125814+033205,2,24,36.0000000001,1.18256062707
WALLABY J125814+033205,3,36.0000000001,48.0000000001,0.665612655424
WALLABY J125814+033205,4,48.0000000001,60.0000000001,0.125112191101
WALLABY J125814+033205,5,60.0000000001,72.0000000001,0.0709413898696
WALLABY J125814+033205,6,72.0000000001,84.0000000002,0.00792545829508
WALLABY J125814+061724,0,6.00000000001,18,1.63401171767
WALLABY J125814+061724,1,18,30.0000000001,1.15148779323
WALLABY J125814+061724,2,30.0000000001,42.0000000001,0.209432952333
WALLABY J125814+061724,3,42.0000000001,54.0000000001,0.0162942629106
WALLABY J125832-161038,0,4.4408920985e-16,12,3.95759188635
WALLABY J125832-161038,1,12,24,3.64710077582
WALLABY J125832-161038,2,24,36.0000000001,1.52367110887
WALLABY J125832-161038,3,36.0000000001,48.0000000001,0.885254773383
WALLABY J125834+054735,0,6.00000000001,18,0.888485053969
WALLABY J125834+054735,1,18,30.0000000001,1.0543893466
WALLABY J125834+054735,2,30.0000000001,42.0000000001,0.540592791509
WALLABY J125834+054735,3,42.0000000001,54.0000000001,0.359422780325
WALLABY J125834+054735,4,54.0000000001,66.0000000001,0.043709004842
WALLABY J125834+054735,5,66.0000000001,78.0000000002,0.0296146703548
WALLABY J125834+054735,6,78.0000000002,90.0000000002,0.00664472251926
WALLABY J125836-161333,0,6.00000000001,18,4.74948989099
WALLABY J125836-161333,1,18,30.0000000001,2.13514288147
WALLABY J125836-161333,2,30.0000000001,42.0000000001,0.948824083533
WALLABY J125836-161333,3,42.0000000001,54.0000000001,0.0815083253775
WALLABY J125836-161333,4,54.0000000001,66.0000000001,0.032191265169
WALLABY J125848-114647,0,6.00000000001,18,1.35297188288
WALLABY J125848-114647,1,18,30.0000000001,2.1157416924
WALLABY J125848-114647,2,30.0000000001,42.0000000001,0.678261710365
WALLABY J125848-114647,3,42.0000000001,54.0000000001,0.431300805933
WALLABY J125848-114647,4,54.0000000001,66.0000000001,0.129865052885
WALLABY J125848-114647,5,66.0000000001,78.0000000002,0.111253450676
WALLABY J125848-114647,6,78.0000000002,90.0000000002,0.012985035649
WALLABY J125848-114647,7,90.0000000002,102,0.00964714902202
WALLABY J125851+052229,0,6.00000000001,18,2.03091236654
WALLABY J125851+052229,1,18,30.0000000001,2.37783539553
WALLABY J125851+052229,2,30.0000000001,42.0000000001,1.23110201191
WALLABY J125851+052229,3,42.0000000001,54.0000000001,0.873539101871
WALLABY J125851+052229,4,54.0000000001,66.0000000001,0.417477984432
WALLABY J125851+052229,5,66.0000000001,78.0000000002,0.225593349668
WALLABY J125851+052229,6,78.0000000002,90.0000000002,0.0260331297076
WALLABY J125851+052229,7,90.0000000002,102,0.0212452209536
WALLABY J125851+052229,8,102,114,0.00502625563507
WALLABY J125851+052229,9,114,126,0.00174854275952
WALLABY J125855-142319,0,4.4408920985e-16,12,2.38958649735
WALLABY J125855-142319,1,12,24,1.58895183674
WALLABY J125855-142319,2,24,36.0000000001,0.93555331847
WALLABY J125855-142319,3,36.0000000001,48.0000000001,0.604230306096
WALLABY J125855-142319,4,48.0000000001,60.0000000001,0.0053836009986
WALLABY J125910-161749,0,4.4408920985e-16,12,7.42377314493
WALLABY J125910-161749,1,12,24,3.43842663713
WALLABY J125910-161749,2,24,36.0000000001,1.94120554323
WALLABY J125910-161749,3,36.0000000001,48.0000000001,0.189395871669
WALLABY J125910-161749,4,48.0000000001,60.0000000001,0.00549936765488
WALLABY J125910-161749,5,60.0000000001,72.0000000001,0.00311875211031
WALLABY J125910-161749,6,72.0000000001,84.0000000002,0.00492188714422
WALLABY J125912-124101,0,4.4408920985e-16,12,7.33047581262
WALLABY J125912-124101,1,12,24,4.77339899928
WALLABY J125912-124101,2,24,36.0000000001,0.845089688328
WALLABY J125912-124101,3,36.0000000001,48.0000000001,0.413585798827
WALLABY J125912-124101,4,48.0000000001,60.0000000001,0.0787160179896
WALLABY J125912-124101,5,60.0000000001,72.0000000001,0.0201848277913
WALLABY J125912-124101,6,72.0000000001,84.0000000002,0.0172795947579
WALLABY J125912-124101,7,84.0000000002,96.0000000002,0.00999038817071
WALLABY J125912-182326,0,4.4408920985e-16,12,3.06471487393
WALLABY J125912-182326,1,12,24,3.20024137243
WALLABY J125912-182326,2,24,36.0000000001,0.381193449267
WALLABY J125912-182326,3,36.0000000001,48.0000000001,0.100654871507
